433,t
434,t
435,f
436,t
437,t
438,t
439,t
440,f
441,t
442,t
443,f
444,f
445,t
446,t
447,t
448,t
449,t
450,f
451,t
452,f
453,t
454,f
455,f
456,f
457,f
458,t
459,t
460,t
461,t
462,t
463,t
464,t
465,t
466,t
467,t
468,t
469,t
470,t
471,t
472,t
473,t
474,t
475,t
476,t
477,t
478,t
479,f
480,t
481,t
482,t
483,t
484,t
485,t
486,t
487,t
488,t
489,t
490,f
491,t
492,t
493,t
494,t
495,t
496,t
497,t
498,t
499,t
500,t
501,t
502,t
503,f
504,t
505,t
506,t
507,t
508,t
509,f
510,t
511,t
512,t
513,t
514,t
515,t
516,t
517,t
518,t
519,t
520,t
521,t
522,t
523,t
524,t
525,t
526,t
527,t
528,t
529,t
530,t
531,t
532,t
533,t
534,t
535,t
536,t
537,t
538,t
539,f
540,t
541,t
542,t
543,t
544,t
545,t
546,t
547,t
548,t
549,t
550,f
551,t
552,t
553,t
554,t
555,t
556,t
557,t
558,t
559,t
560,t
561,t
562,t
563,t
564,t
565,t
566,t
567,t
568,t
569,t
570,t
571,t
572,t
573,t
574,t
575,t
576,t
577,t
578,t
579,t
580,t
581,t
582,t
583,t
584,t
585,t
586,t
587,t
588,t
589,t
590,t
591,t
592,t
593,t
594,t
595,t
596,t
597,t
598,t
599,t
600,t
601,t
602,t
603,t
604,t
605,t
606,t
607,t
608,t
609,t
610,t
611,t
612,t
613,t
614,t
615,t
616,t
617,t
618,t
619,t
620,t
621,t
622,t
623,t
624,t
625,t
626,t
627,t
628,t
629,t
630,t
631,t
632,t
633,t
634,t
635,t
636,t
637,t
638,t
639,t
640,t
641,t
642,t
643,t
644,t
645,t
646,t
647,t
648,t
649,t
650,t
651,t
652,t
653,t
654,t
655,t
656,t
657,t
658,t
659,t
660,t
661,t
662,t
663,t
664,t
665,t
666,t
667,t
668,t
669,t
670,t
671,t
672,t
673,t
674,t
675,t
676,t
677,t
678,t
679,t
680,t
681,t
682,t
683,t
684,t
685,t
686,t
687,t
688,t
689,t
690,t
691,t
692,t
693,t
694,t
695,t
696,t
697,t
698,t
699,t
700,t
701,t
702,t
703,t
704,t
705,t
706,t
707,t
708,t
709,t
710,t
711,t
712,t
713,t
714,t
715,t
716,t
717,t
718,t
719,t
720,t
721,t
722,t
723,t
724,t
725,t
726,t
727,t
728,t
729,t
730,t
731,t
732,t
733,t
734,t
735,t
736,t
737,t
738,t
739,t
740,t
741,t
742,t
743,t
744,t
745,t
746,t
747,t
748,t
749,t
750,t
751,t
752,t
753,t
754,t
755,t
756,t
757,t
758,t
759,t
760,t
761,t
762,t
763,t
764,t
765,t
766,t
767,t
768,t
769,t
770,t
771,t
772,t
773,t
774,t
775,t
776,t
777,t
778,t
779,t
780,t
781,t
782,t
783,t
784,t
785,t
786,t
787,t
788,t
789,t
790,t
791,t
792,t
793,t
794,t
795,t
796,t
797,t
798,t
799,t
800,t
801,t
802,t
803,t
804,t
805,f
806,t
807,f
808,t
809,t
810,t
811,t
812,t
813,t
814,t
815,t
816,t
817,t
818,t
819,t
820,t
821,t
822,t
823,t
824,t
825,t
826,t
827,t
828,t
829,t
830,t
831,t
832,t
833,t
834,t
835,t
836,t
837,t
838,t
839,t
840,t
841,t
842,t
843,t
844,t
845,t
846,t
847,t
848,t
849,t
850,t
851,t
852,t
853,t
854,t
855,f
856,t
857,t
858,t
859,t
860,t
861,f
862,t
863,t
864,t
865,t
866,t
867,t
868,t
869,t
870,t
871,t
872,t
873,t
874,t
875,t
876,t
877,t
878,t
879,t
880,t
881,t
882,t
883,t
884,t
885,t
886,t
887,t
888,t
889,t
890,t
891,t
892,t
893,t
894,f
895,t
896,t
897,t
898,f
899,t
900,t
901,t
902,t
903,t
904,t
905,t
906,t
907,t
908,t
909,t
910,t
911,t
912,t
913,t
914,t
915,f
916,t
917,t
918,t
919,t
920,t
921,t
922,t
923,t
924,t
925,t
926,t
927,t
928,t
929,t
930,t
931,t
932,f
933,t
934,t
935,t
936,t
937,t
938,f
939,t
940,t
941,t
942,t
943,t
944,t
945,f
946,t
947,t
948,t
949,f
950,t
951,t
952,f
953,t
954,t
955,f
956,t
957,t
958,t
959,t
960,t
961,t
962,t
963,t
964,t
965,t
966,t
967,t
968,t
969,t
970,t
971,t
972,t
973,t
974,t
975,t
976,t
977,t
978,t
979,t
980,t
981,t
982,t
983,t
984,t
985,t
986,t
987,t
988,f
989,f
990,t
991,t
992,t
993,t
994,t
995,t
996,t
997,t
998,t
999,t
1000,t
1001,t
1002,t
1003,t
1004,t
1005,t
1006,t
1007,t
1008,t
1009,t
1010,t
1011,t
1012,t
1013,t
1014,t
1015,t
1016,t
1017,t
1018,t
1019,t
1020,t
1021,t
1022,t
1023,t
1024,t
1025,f
1026,t
1027,t
1028,f
1029,t
1030,t
1031,t
1032,t
1033,t
1034,t
1035,f
1036,t
1037,t
1038,f
1039,t
1040,f
1041,t
1042,t
1043,f
1044,f
1045,t
1046,t
1047,t
1048,t
1049,t
1050,t
1051,t
1052,t
1053,t
1054,t
1055,t
1056,t
1057,t
1058,t
1059,t
1060,t
1061,f
1062,t
1063,t
1064,t
1065,t
1066,t
1067,t
1068,f
1069,f
1070,t
1071,t
1072,f
1073,t
1074,t
1075,t
1076,f
1077,t
1078,t
1079,t
1080,t
1081,t
1082,t
1083,t
1084,t
1085,t
1086,t
1087,f
1088,f
1089,t
1090,f
1091,t
1092,f
1093,t
1094,f
1095,f
1096,t
1097,f
1098,t
1099,f
1100,t
1101,f
1102,t
1103,t
1104,t
1105,f
1106,f
1107,f
1108,f
1109,t
1110,f
1111,t
1112,f
1113,t
1114,t
1115,t
1116,t
1117,t
1118,t
1119,t
1120,t
1121,t
1122,t
1123,t
1124,t
1125,t
1126,t
1127,f
1128,t
1129,t
1130,t
1131,t
1132,t
1133,t
1134,t
1135,t
1136,t
1137,t
1138,t
1139,t
1140,t
1141,f
1142,t
1143,f
1144,t
1145,t
1146,t
1147,t
1148,t
1149,t
1150,t
1151,t
1152,t
1153,t
1154,t
1155,t
1156,t
1157,t
1158,t
1159,t
1160,t
1161,t
1162,f
1163,f
1164,t
1165,t
1166,f
1167,t
1168,t
1169,t
1170,t
1171,t
1172,t
1173,t
1174,f
1175,t
1176,f
1177,f
1178,t
1179,f
1180,f
1181,f
1182,f
1183,t
1184,f
1185,t
1186,t
1187,t
1188,t
1189,t
1190,t
1191,t
1192,f
1193,t
1194,t
1195,t
1196,t
1197,t
1198,t
1199,t
1200,t
1201,t
1202,t
1203,t
1204,t
1205,t
1206,t
1207,t
1208,t
1209,t
1210,t
1211,t
1212,t
1213,t
1214,t
1215,t
1216,t
1217,f
1218,f
1219,t
1220,t
1221,t
1222,t
1223,t
1224,t
1225,t
1226,t
1227,t
1228,t
1229,t
1230,t
1231,t
1232,t
1233,t
1234,t
1235,t
1236,t
1237,t
1238,t
1239,t
1240,f
1241,t
1242,t
1243,t
1244,t
1245,t
1246,t
1247,t
1248,t
1249,t
1250,t
1251,t
1252,t
1253,t
1254,t
1255,t
1256,t
1257,t
1258,t
1259,t
1260,t
1261,t
1262,t
1263,t
1264,t
1265,t
1266,t
1267,t
1268,t
1269,t
1270,t
1271,t
1272,t
1273,t
1274,t
1275,t
1276,t
1277,t
1278,t
1279,t
1280,t
1281,t
1282,t
1283,t
1284,t
1285,t
1286,t
1287,t
1288,f
1289,t
1290,f
1291,t
1292,t
1293,t
1294,t
1295,f
1296,t
1297,t
1298,t
1299,f
1300,t
1301,t
1302,f
1303,t
1304,t
1305,t
1306,t
1307,f
1308,t
1309,t
1310,t
1311,t
1312,t
1313,f
1314,f
1315,f
1316,f
1317,t
1318,t
1319,t
1320,t
1321,f
1322,f
1323,t
1324,t
1325,t
1326,f
1327,t
1328,f
1329,t
1330,t
1331,f
1332,f
1333,f
1334,f
1335,t
1336,t
1337,t
1338,f
1339,t
1340,t
1341,t
1342,t
1343,t
1344,t
1345,t
1346,t
1347,t
1348,t
1349,t
1350,t
1351,t
1352,t
1353,t
1354,t
1355,t
1356,t
1357,t
1358,t
1359,t
1360,t
1361,t
1362,t
1363,t
1364,t
1365,t
1366,t
1367,t
1368,t
1369,t
1370,t
1371,t
1372,t
1373,t
1374,t
1375,t
1376,f
1377,f
1378,t
1379,t
1380,t
1381,t
1382,t
1383,t
1384,t
1385,t
1386,t
1387,t
1388,t
1389,t
1390,t
1391,t
1392,t
1393,t
1394,t
1395,t
1396,t
1397,t
1398,t
1399,t
1400,t
1401,t
1402,t
1403,t
1404,t
1405,t
1406,t
1407,t
1408,t
1409,t
1410,t
1411,t
1412,t
1413,t
1414,t
1415,f
1416,t
1417,t
1418,t
1419,t
1420,t
1421,t
1422,t
1423,t
1424,t
1425,t
1426,t
1427,t
1428,t
1429,t
1430,t
1431,f
1432,t
1433,t
1434,f
1435,t
1436,t
1437,t
1438,t
1439,t
1440,f
1441,t
1442,f
1443,t
1444,t
1445,f
1446,t
1447,f
1448,t
1449,t
1450,t
1451,t
1452,t
1453,t
1454,t
1455,t
1456,f
1457,t
1458,t
1459,t
1460,t
1461,t
1462,t
1463,t
1464,t
1465,t
1466,t
1467,t
1468,t
1469,t
1470,t
1471,t
1472,t
1473,t
1474,t
1475,t
1476,t
1477,t
1478,t
1479,t
1480,t
1481,t
1482,t
1483,t
1484,t
1485,t
1486,t
1487,t
1488,t
1489,t
1490,t
1491,t
1492,t
1493,t
1494,t
1495,t
1496,t
1497,t
1498,t
1499,t
1500,t
1501,t
1502,t
1503,t
1504,t
1505,t
1506,t
1507,t
1508,t
1509,t
1510,t
1511,t
1512,t
1513,t
1514,t
1515,t
1516,t
1517,t
1518,t
1519,t
1520,t
1521,t
1522,t
1523,t
1524,t
1525,t
1526,t
1527,t
1528,t
1529,t
1530,t
1531,t
1532,t
1533,t
1534,t
1535,t
1536,t
1537,t
1538,t
1539,t
1540,t
1541,t
1542,t
1543,t
1544,t
1545,t
1546,t
1547,t
1548,t
1549,t
1550,t
1551,t
1552,t
1553,t
1554,t
1555,t
1556,t
1557,t
1558,t
1559,t
1560,t
1561,t
1562,t
1563,t
1564,t
1565,t
1566,t
1567,t
1568,t
1569,t
1570,t
1571,f
1572,t
1573,t
1574,t
1575,t
1576,t
1577,t
1578,t
1579,t
1580,t
1581,t
1582,t
1583,t
1584,t
1585,t
1586,t
1587,t
1588,t
1589,t
1590,t
1591,t
1592,t
1593,t
1594,t
1595,t
1596,t
1597,t
1598,t
1599,t
1600,t
1601,t
1602,t
1603,t
1604,t
1605,t
1606,t
1607,t
1608,t
1609,t
1610,t
1611,t
1612,t
1613,t
1614,t
1615,t
1616,t
1617,f
1618,t
1619,t
1620,t
1621,t
1622,t
1623,t
1624,t
1625,t
1626,t
1627,t
1628,t
1629,t
1630,t
1631,t
1632,t
1633,t
1634,t
1635,t
1636,t
1637,t
1638,t
1639,t
1640,t
1641,t
1642,t
1643,t
1644,t
1645,t
1646,t
1647,t
1648,t
1649,t
1650,t
1651,t
1652,t
1653,t
1654,t
1655,t
1656,t
1657,t
1658,t
1659,t
1660,t
1661,t
1662,t
1663,t
1664,t
1665,t
1666,t
1667,t
1668,t
1669,f
1670,t
1671,t
1672,t
1673,t
1674,t
1675,t
1676,t
1677,f
1678,t
1679,f
1680,f
1681,f
1682,t
1683,t
1684,t
1685,t
1686,t
1687,f
1688,t
1689,f
1690,t
1691,t
1692,f
1693,t
1694,f
1695,t
1696,t
1697,t
1698,t
1699,t
1700,t
1701,t
1702,t
1703,t
1704,t
1705,t
1706,t
1707,t
1708,t
1709,t
1710,t
1711,t
1712,t
1713,t
1714,t
1715,t
1716,t
1717,t
1718,t
1719,t
1720,t
1721,t
1722,t
1723,t
1724,t
1725,t
1726,t
1727,t
1728,t
1729,t
1730,t
1731,t
1732,t
1733,t
1734,t
1735,t
1736,t
1737,t
1738,t
1739,t
1740,t
1741,t
1742,t
1743,t
1744,t
1745,t
1746,t
1747,f
1748,f
1749,t
1750,t
1751,f
1752,t
1753,t
1754,f
1755,t
1756,t
1757,t
1758,f
1759,t
1760,t
1761,t
1762,t
1763,t
1764,t
1765,f
1766,t
1767,t
1768,t
1769,t
1770,t
1771,t
1772,t
1773,t
1774,t
1775,t
1776,t
1777,t
1778,t
1779,t
1780,t
1781,t
1782,t
1783,t
1784,t
1785,t
1786,t
1787,t
1788,t
1789,t
1790,t
1791,t
1792,t
1793,t
1794,t
1795,t
1796,t
1797,t
1798,t
1799,t
1800,t
1801,t
1802,f
1803,t
1804,t
1805,t
1806,t
1807,t
1808,t
1809,t
1810,t
1811,t
1812,t
1813,t
1814,t
1815,t
1816,t
1817,t
1818,t
1819,t
1820,t
1821,t
1822,t
1823,t
1824,t
1825,t
1826,t
1827,t
1828,t
1829,t
1830,t
1831,t
1832,t
1833,t
1834,t
1835,t
1836,t
1837,t
1838,t
1839,t
1840,t
1841,t
1842,t
1843,t
1844,t
1845,t
1846,t
1847,t
1848,t
1849,t
1850,t
1851,t
1852,t
1853,t
1854,t
1855,t
1856,t
1857,t
1858,t
1859,t
1860,t
1861,t
1862,t
1863,t
1864,t
1865,t
1866,t
1867,t
1868,t
1869,t
1870,t
1871,t
1872,t
1873,t
1874,t
1875,t
1876,t
1877,t
1878,t
1879,t
1880,t
1881,t
1882,t
1883,t
1884,t
1885,t
1886,t
1887,t
1888,t
1889,t
1890,t
1891,t
1892,t
1893,t
1894,t
1895,t
1896,t
1897,t
1898,t
1899,t
1900,t
1901,t
1902,t
1903,t
1904,t
1905,t
1906,t
1907,t
1908,t
1909,t
1910,t
1911,t
1912,t
1913,t
1914,t
1915,t
1916,t
1917,t
1918,t
1919,t
1920,t
1921,t
1922,t
1923,t
1924,t
1925,t
1926,t
1927,t
1928,t
1929,t
1930,t
1931,t
1932,t
1933,t
1934,t
1935,t
1936,t
1937,t
1938,t
1939,t
1940,t
1941,t
1942,t
1943,t
1944,t
1945,t
1946,t
1947,t
1948,t
1949,t
1950,t
1951,t
1952,t
1953,t
1954,t
1955,t
1956,t
1957,t
1958,t
1959,t
1960,t
1961,t
1962,t
1963,t
1964,t
1965,t
1966,t
1967,t
1968,t
1969,t
1970,t
1971,t
1972,t
1973,t
1974,t
1975,t
1976,t
1977,t
1978,t
1979,t
1980,t
1981,t
1982,t
1983,t
1984,t
1985,t
1986,t
1987,t
1988,t
1989,t
1990,t
1991,t
1992,t
1993,t
1994,t
1995,t
1996,t
1997,t
1998,t
1999,t
2000,t
2001,t
2002,t
2003,t
2004,t
2005,t
2006,t
2007,t
2008,t
2009,t
2010,t
2011,t
2012,t
2013,t
2014,t
2015,t
2016,t
2017,t
2018,t
2019,t
2020,t
2021,t
2022,t
2023,t
2024,t
2025,t
2026,t
2027,t
2028,t
2029,t
2030,t
2031,t
2032,t
2033,t
2034,t
2035,t
2036,t
2037,t
2038,t
2039,t
2040,t
2041,t
2042,t
2043,t
2044,t
2045,t
2046,t
2047,t
2048,t
2049,t
2050,t
2051,t
2052,t
2053,t
2054,t
2055,t
2056,t
2057,t
2058,t
2059,t
2060,t
2061,t
2062,t
2063,t
2064,t
2065,t
2066,t
2067,t
2068,t
2069,t
2070,t
2071,t
2072,t
2073,t
2074,t
2075,t
2076,t
2077,t
2078,t
2079,t
2080,t
2081,t
2082,t
2083,t
2084,t
2085,t
2086,t
2087,t
2088,t
2089,t
2090,t
2091,t
2092,t
2093,t
2094,t
2095,t
2096,t
2097,t
2098,t
2099,t
2100,t
2101,t
2102,t
2103,t
2104,t
2105,t
2106,t
2107,t
2108,t
2109,t
2110,t
2111,t
2112,t
2113,t
2114,t
2115,t
2116,t
2117,t
2118,t
2119,t
2120,t
2121,t
2122,t
2123,f
2124,t
2125,t
2126,f
2127,f
2128,t
2129,t
2130,t
2131,t
2132,t
2133,f
2134,f
2135,f
2136,t
2137,t
2138,f
2139,t
2140,t
2141,t
2142,t
2143,f
2144,t
2145,t
2146,t
2147,t
2148,f
2149,f
2150,f
2151,t
2152,t
2153,t
2154,t
2155,t
2156,t
2157,t
2158,t
2159,t
2160,t
2161,t
2162,t
2163,t
2164,t
2165,t
2166,t
2167,t
2168,t
2169,t
2170,t
2171,t
2172,t
2173,t
2174,t
2175,t
2176,t
2177,t
2178,t
2179,t
2180,t
2181,t
2182,t
2183,t
2184,t
2185,t
2186,t
2187,t
2188,t
2189,t
2190,t
2191,t
2192,t
2193,t
2194,t
2195,t
2196,t
2197,t
2198,t
2199,t
2200,t
2201,t
2202,t
2203,t
2204,t
2205,t
2206,t
2207,t
2208,t
2209,t
2210,t
2211,f
2212,f
2213,f
2214,t
2215,t
2216,t
2217,t
2218,t
2219,t
2220,f
2221,t
2222,t
2223,t
2224,t
2225,t
2226,t
2227,f
2228,t
2229,t
2230,f
2231,t
2232,t
2233,t
2234,t
2235,t
2236,t
2237,t
2238,t
2239,t
2240,t
2241,t
2242,f
2243,t
2244,t
2245,t
2246,t
2247,t
2248,t
2249,t
2250,t
2251,f
2252,t
2253,t
2254,t
2255,t
2256,t
2257,t
2258,t
2259,t
2260,t
2261,t
2262,t
2263,t
2264,t
2265,t
2266,f
2267,t
2268,t
2269,t
2270,f
2271,t
2272,f
2273,t
2274,t
2275,t
2276,t
2277,t
2278,t
2279,f
2280,f
2281,t
2282,t
2283,t
2284,t
2285,t
2286,f
2287,f
2288,t
2289,f
2290,t
2291,t
2292,t
2293,f
2294,t
2295,t
2296,t
2297,f
2298,t
2299,t
2300,f
2301,t
2302,t
2303,t
2304,t
2305,f
2306,t
2307,t
2308,t
2309,t
2310,t
2311,t
2312,f
2313,t
2314,t
2315,t
2316,t
2317,f
2318,t
2319,t
2320,t
2321,t
2322,t
2323,t
2324,t
2325,t
2326,t
2327,t
2328,t
2329,t
2330,t
2331,t
2332,t
2333,t
2334,t
2335,t
2336,t
2337,t
2338,t
2339,t
2340,t
2341,t
2342,t
2343,t
2344,t
2345,t
2346,t
2347,t
2348,t
2349,t
2350,t
2351,t
2352,t
2353,t
2354,t
2355,t
2356,t
2357,f
2358,t
2359,t
2360,t
2361,t
2362,t
2363,t
2364,t
2365,t
2366,t
2367,t
2368,t
2369,t
2370,t
2371,f
2372,f
2373,f
2374,t
2375,t
2376,f
2377,f
2378,f
2379,t
2380,t
2381,f
2382,t
2383,t
2384,t
2385,t
2386,t
2387,t
2388,t
2389,t
2390,t
2391,t
2392,t
2393,t
2394,t
2395,t
2396,t
2397,t
2398,t
2399,t
2400,t
2401,t
2402,t
2403,t
2404,t
2405,t
2406,t
2407,t
2408,t
2409,t
2410,t
2411,t
2412,t
2413,t
2414,t
2415,t
2416,t
2417,t
2418,t
2419,f
2420,t
2421,t
2422,t
2423,t
2424,t
2425,t
2426,t
2427,t
2428,t
2429,t
2430,f
2431,t
2432,t
2433,t
2434,t
2435,t
2436,t
2437,t
2438,t
2439,t
2440,t
2441,t
2442,t
2443,t
2444,t
2445,f
2446,f
2447,t
2448,t
2449,f
2450,t
2451,t
2452,t
2453,t
2454,t
2455,t
2456,t
2457,t
2458,t
2459,t
2460,t
2461,f
2462,f
2463,t
2464,t
2465,t
2466,t
2467,t
2468,t
2469,t
2470,t
2471,t
2472,t
2473,t
2474,t
2475,t
2476,t
2477,t
2478,f
2479,t
2480,t
2481,t
2482,f
2483,f
2484,t
2485,t
2486,f
2487,t
2488,t
2489,t
2490,t
2491,t
2492,t
2493,f
2494,t
2495,t
2496,t
2497,t
2498,t
2499,t
2500,t
2501,t
2502,t
2503,t
2504,t
2505,t
2506,t
2507,t
2508,t
2509,t
2510,t
2511,t
2512,t
2513,t
2514,t
2515,t
2516,t
2517,t
2518,t
2519,t
2520,t
2521,t
2522,t
2523,t
2524,t
2525,t
2526,t
2527,t
2528,t
2529,t
2530,t
2531,t
2532,t
2533,t
2534,t
2535,t
2536,t
2537,f
2538,t
2539,t
2540,t
2541,t
2542,t
2543,t
2544,t
2545,t
2546,t
2547,t
2548,t
2549,t
2550,f
2551,t
2552,f
2553,t
2554,t
2555,t
2556,t
2557,t
2558,t
2559,t
2560,t
2561,t
2562,t
2563,t
2564,t
2565,t
2566,t
2567,t
2568,f
2569,t
2570,t
2571,t
2572,f
2573,t
2574,f
2575,f
2576,t
2577,f
2578,t
2579,t
2580,t
2581,t
2582,t
2583,t
2584,t
2585,t
2586,t
2587,t
2588,t
2589,t
2590,f
2591,t
2592,t
2593,t
2594,f
2595,t
2596,t
2597,t
2598,t
2599,t
2600,t
2601,t
2602,t
2603,t
2604,f
2605,t
2606,t
2607,t
2608,t
2609,t
2610,t
2611,t
2612,t
2613,f
2614,t
2615,t
2616,t
2617,t
2618,t
2619,t
2620,t
2621,t
2622,t
2623,t
2624,f
2625,f
2626,f
2627,t
2628,t
2629,t
2630,t
2631,t
2632,f
2633,t
2634,t
2635,t
2636,t
2637,t
2638,t
2639,t
2640,t
2641,t
2642,t
2643,t
2644,t
2645,t
2646,t
2647,t
2648,t
2649,t
2650,t
2651,t
2652,t
2653,t
2654,t
2655,t
2656,t
2657,t
2658,t
2659,t
2660,t
2661,t
2662,t
2663,t
2664,t
2665,t
2666,t
2667,t
2668,t
2669,t
2670,t
2671,t
2672,t
2673,t
2674,t
2675,t
2676,t
2677,t
2678,t
2679,t
2680,t
2681,t
2682,t
2683,t
2684,t
2685,t
2686,t
2687,f
2688,t
2689,t
2690,t
2691,t
2692,t
2693,t
2694,t
2695,t
2696,t
2697,t
2698,t
2699,t
2700,t
2701,t
2702,t
2703,t
2704,t
2705,t
2706,t
2707,t
2708,t
2709,t
2710,t
2711,t
2712,t
2713,t
2714,t
2715,t
2716,t
2717,t
2718,t
2719,t
2720,t
2721,t
2722,t
2723,t
2724,t
2725,t
2726,t
2727,t
2728,t
2729,t
2730,t
2731,t
2732,t
2733,t
2734,t
2735,t
2736,t
2737,t
2738,t
2739,t
2740,t
2741,t
2742,t
2743,t
2744,t
2745,t
2746,t
2747,t
2748,t
2749,t
2750,t
2751,t
2752,t
2753,t
2754,f
2755,t
2756,t
2757,t
2758,t
2759,t
2760,t
2761,t
2762,t
2763,t
2764,t
2765,t
2766,t
2767,t
2768,t
2769,t
2770,t
2771,t
2772,t
2773,f
2774,t
2775,t
2776,t
2777,t
2778,t
2779,t
2780,t
2781,t
2782,t
2783,t
2784,t
2785,t
2786,t
2787,t
2788,t
2789,t
2790,t
2791,t
2792,f
2793,t
2794,t
2795,t
2796,t
2797,t
2798,t
2799,f
2800,t
2801,t
2802,t
2803,t
2804,t
2805,t
2806,t
2807,t
2808,t
2809,f
2810,t
2811,t
2812,t
2813,t
2814,t
2815,t
2816,t
2817,t
2818,t
2819,t
2820,t
2821,t
2822,t
2823,t
2824,t
2825,t
2826,t
2827,f
2828,t
2829,t
2830,t
2831,t
2832,t
2833,f
2834,t
2835,t
2836,f
2837,t
2838,t
2839,t
2840,t
2841,t
2842,t
2843,t
2844,t
2845,t
2846,t
2847,f
2848,f
2849,t
2850,t
2851,f
2852,t
2853,t
2854,f
2855,t
2856,t
2857,f
2858,f
2859,f
2860,t
2861,t
2862,t
2863,t
2864,f
2865,t
2866,f
2867,t
2868,t
2869,t
2870,f
2871,t
2872,t
2873,t
2874,f
2875,f
2876,t
2877,t
2878,t
2879,t
2880,t
2881,t
2882,f
2883,f
2884,f
2885,t
2886,t
2887,t
2888,f
2889,f
2890,t
2891,f
2892,f
2893,t
2894,f
2895,f
2896,t
2897,f
2898,f
2899,t
2900,t
2901,t
2902,t
2903,t
2904,t
2905,t
2906,t
2907,f
2908,t
2909,t
2910,f
2911,t
2912,t
2913,f
2914,t
2915,t
2916,f
2917,t
2918,f
2919,f
2920,f
2921,t
2922,t
2923,t
2924,t
2925,f
2926,f
2927,f
2928,f
2929,t
2930,t
2931,f
2932,f
2933,f
2934,f
2935,t
2936,f
2937,f
2938,f
2939,f
2940,f
2941,t
2942,t
2943,t
2944,f
2945,f
2946,t
2947,t
2948,f
2949,f
2950,f
2951,f
2952,t
2953,t
2954,t
2955,f
2956,f
2957,f
2958,f
2959,f
2960,t
2961,f
2962,t
2963,t
2964,t
2965,t
2966,t
2967,t
2968,t
2969,t
2970,t
2971,t
2972,t
2973,t
2974,t
2975,t
2976,t
2977,t
2978,f
2979,t
2980,t
2981,f
2982,t
2983,f
2984,f
2985,t
2986,f
2987,t
2988,t
2989,f
2990,f
2991,t
2992,t
2993,f
2994,t
2995,t
2996,f
2997,f
2998,f
2999,t
